"filename", "language", "JSON", "CSS", "JavaScript", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\contact.ejs", "HTML", 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\global\footer.ejs", "HTML", 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\global\header.ejs", "HTML", 0, 0, 0, 15, 0, 0, 0, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\lk.ejs", "HTML", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\dashboard_nav.ejs", "HTML", 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_main.ejs", "HTML", 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\match.ejs", "HTML", 0, 0, 0, 35, 0, 0, 3, 38
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\match_create.ejs", "HTML", 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\player.ejs", "HTML", 0, 0, 0, 35, 0, 0, 4, 39
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\profile.ejs", "HTML", 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team.ejs", "HTML", 0, 0, 0, 37, 0, 0, 3, 40
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team_create.ejs", "HTML", 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team_list.ejs", "HTML", 0, 0, 0, 36, 0, 0, 4, 40
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team_list_create.ejs", "HTML", 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\tournament.ejs", "HTML", 0, 0, 0, 34, 0, 0, 3, 37
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\tournament_create.ejs", "HTML", 0, 0, 0, 32, 0, 0, 3, 35
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\tournament_edit.ejs", "HTML", 0, 0, 0, 30, 0, 0, 3, 33
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\loginForm.ejs", "HTML", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\regForm.ejs", "HTML", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\css\calendarorganizer.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\css\jsCalendar.min.css", "CSS", 0, 1, 0, 0, 0, 5, 2, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\css\vanillaCalendar.css", "CSS", 0, 100, 0, 0, 0, 0, 15, 115
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\js\calendarorganizer.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\js\jsCalendar.lang.ru.js", "JavaScript", 0, 0, 39, 0, 0, 15, 6, 60
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\js\vanillaCalendar.js", "JavaScript", 0, 0, 111, 0, 0, 3, 13, 127
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\lk.js", "JavaScript", 0, 0, 136, 0, 0, 0, 6, 142
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\login.js", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\parts\team.js", "JavaScript", 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\script.js", "JavaScript", 0, 0, 234, 0, 0, 29, 46, 309
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\styles\lk.css", "CSS", 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\styles\style.css", "CSS", 0, 67, 0, 0, 0, 1, 6, 74
"Total", "-", 2397, 193, 1657, 390, 10, 84, 291, 5022
