"filename", "language", "JSON", "JavaScript", "CSS", "HTML", "TypeScript", "comment", "blank", "total"
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\controllers\user-controller.js", "JavaScript", 0, -67, 0, 0, 0, 0, -9, -76
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\exceptions\api-error.js", "JavaScript", 0, 3, 0, 0, 0, 0, -1, 2
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\index.js", "JavaScript", 0, -1, 0, 0, 0, 19, 3, 21
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\middlewares\checkAuth-middleware.js", "JavaScript", 0, 27, 0, 0, 0, 0, 2, 29
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\match-model.js", "JavaScript", 0, 4, 0, 0, 0, -1, 0, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\player-model.js", "JavaScript", 0, 2, 0, 0, 0, -1, 0, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\representative-model.js", "JavaScript", 0, 1, 0, 0, 0, -1, 0, 0
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\tournament-model.js", "JavaScript", 0, 39, 0, 0, 0, -1, 0, 38
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\navs\constant.js", "JavaScript", 0, 108, 0, 0, 0, 3, 6, 117
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\navs\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\package-lock.json", "JSON", -459, 0, 0, 0, 0, 0, 0, -459
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\router\auth-router.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\service\user-service.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\global\header.ejs", "HTML", 0, 0, 0, 2, 0, 0, -1, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\match.ejs", "HTML", 0, 0, 0, 35, 0, 0, 3, 38
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\match_create.ejs", "HTML", 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\player.ejs", "HTML", 0, 0, 0, 35, 0, 0, 4, 39
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team.ejs", "HTML", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team_list.ejs", "HTML", 0, 0, 0, 36, 0, 0, 4, 40
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team_list_create.ejs", "HTML", 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\tournament.ejs", "HTML", 0, 0, 0, 34, 0, 0, 3, 37
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\tournament_create.ejs", "HTML", 0, 0, 0, 32, 0, 0, 3, 35
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\tournament_edit.ejs", "HTML", 0, 0, 0, 30, 0, 0, 3, 33
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\css\calendarorganizer.min.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\css\jsCalendar.min.css", "CSS", 0, 0, 1, 0, 0, 5, 2, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\css\vanillaCalendar.css", "CSS", 0, 0, 100, 0, 0, 0, 15, 115
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\js\calendarorganizer.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\js\jsCalendar.lang.ru.js", "JavaScript", 0, 39, 0, 0, 0, 15, 6, 60
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\lib\js\vanillaCalendar.js", "JavaScript", 0, 111, 0, 0, 0, 3, 13, 127
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\lk.js", "JavaScript", 0, 87, 0, 0, 0, 0, 4, 91
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\parts\team.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\script.js", "JavaScript", 0, 29, 0, 0, 0, 2, 8, 39
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\auth.ejs", "HTML", 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\contact.ejs", "HTML", 0, 0, 0, -21, 0, 0, -2, -23
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\global\footer.ejs", "HTML", 0, 0, 0, -2, 0, 0, 0, -2
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\global\header.ejs", "HTML", 0, 0, 0, -13, 0, 0, -1, -14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\lk.ejs", "HTML", 0, 0, 0, -8, 0, 0, 0, -8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\dashboard_nav.ejs", "HTML", 0, 0, 0, -14, 0, 0, -1, -15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_main.ejs", "HTML", 0, 0, 0, -2, 0, 0, -1, -3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\profile.ejs", "HTML", 0, 0, 0, -14, 0, 0, -1, -15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\team.ejs", "HTML", 0, 0, 0, -36, 0, 0, -3, -39
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\team_create.ejs", "HTML", 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\loginForm.ejs", "HTML", 0, 0, 0, -10, 0, 0, 0, -10
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\regForm.ejs", "HTML", 0, 0, 0, -12, 0, 0, 0, -12
"Total", "-", -453, 2, 80, 76, -11, 47, -15, -274
