"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "TypeScript", "Properties", "comment", "blank", "total"
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\match-model.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\player-model.js", "JavaScript", 7, 0, 0, 0, 0, 0, 1, 3, 11
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\representative-model.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\season-model.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\stadium-model.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\team-model.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\token-model.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\tournament-model.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\transfer-model.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\user-model.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\models\userD-model.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\package-lock.json", "JSON", 0, 0, 0, 2819, 0, 0, 0, 1, 2820
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\package.json", "JSON", 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\router\auth-router.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\router\index.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
